"boxID","taskID","workerID","printID","text","x","y","width","height","type","certainty"
1,1230324407,13426363,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","none",0.481481481481481,0.236641221374046,0.174074074074074,0.111959287531807,"unable","5"
2,1230324407,13426363,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","none",0.272222222222222,0.151399491094148,0.155555555555556,0.0801526717557252,"unable","4"
3,1230324407,13426363,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","none",0.268518518518519,0.21501272264631,0.0796296296296296,0.0432569974554707,"unable","5"
4,1230324407,13426363,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","none",0.37037037037037,0.259541984732824,0.0555555555555556,0.0318066157760815,"unable","5"
5,1230324407,13426363,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","none",0.537037037037037,0.367684478371501,0.0685185185185184,0.0534351145038168,"unable","5"
6,1230324407,13426363,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","none",0.757407407407407,0.524173027989822,0.0351851851851852,0.0343511450381679,"unable","5"
7,1230324407,13426363,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","none",0.65,0.540712468193384,0.0481481481481482,0.0483460559796437,"unable","5"
8,1230324407,13426363,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","none",0.244444444444444,0.254452926208651,0.0277777777777778,0.0343511450381679,"unable","5"
9,1230324407,13426363,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","none",0.196296296296296,0.253180661577608,0.0611111111111111,0.0648854961832061,"unable","5"
10,1230324407,13426363,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","none",0.374074074074074,0.408396946564886,0.175925925925926,0.106870229007634,"unable","5"
11,1230364449,7784947,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","rose",0.162686567164179,0.258726899383984,0.0970149253731344,0.0441478439425051,"name","1"
12,1230364449,7784947,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","rose",0.27910447761194,0.211498973305955,0.0537313432835821,0.0472279260780288,"name","1"
13,1230364449,7784947,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","daisy?",0.385074626865672,0.40041067761807,0.12089552238806,0.0903490759753593,"unable","1"
14,1230364449,7784947,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","rose",0.655223880597015,0.548254620123203,0.0582089552238806,0.0390143737166325,"name","1"
15,1230364449,7784947,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","rose",0.750746268656716,0.514373716632444,0.0611940298507462,0.044147843942505,"name","1"
16,1230365949,15273328,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","lily",0.396296296296296,0.410191082802548,0.103703703703704,0.067515923566879,"name","3"
17,1230365949,15273328,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","lily",0.75,0.521019108280255,0.0796296296296296,0.0369426751592357,"name","3"
18,1230398165,13567356,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","I dont know this type of flower",0.176328502415459,0.244186046511628,0.0821256038647343,0.0498338870431894,"unable","2"
19,1230398165,13567356,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","I dont know this type of flower
",0.393719806763285,0.408637873754153,0.0990338164251208,0.0714285714285714,"unable","2"
20,1230398165,13567356,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","I dont know this type of flower
",0.654589371980676,0.546511627906977,0.0555555555555556,0.0415282392026578,"unable","2"
21,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.319402985074627,0.183778234086242,0.0925373134328358,0.053388090349076,"unable","2"
22,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.274626865671642,0.205338809034908,0.0686567164179104,0.0472279260780288,"unable","1"
23,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.240298507462687,0.251540041067762,0.0447761194029851,0.0369609856262834,"unable","1"
24,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.180597014925373,0.25564681724846,0.0791044776119403,0.0492813141683778,"unable","1"
25,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.376119402985075,0.252566735112936,0.0343283582089552,0.0338809034907597,"unable","1"
26,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.494029850746269,0.258726899383984,0.162686567164179,0.0862422997946612,"unable","1"
27,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.453731343283582,0.32135523613963,0.073134328358209,0.0503080082135524,"unable","2"
28,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.613432835820895,0.338809034907598,0.0298507462686568,0.0277207392197125,"unable","1"
29,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.537313432835821,0.363449691991786,0.0522388059701493,0.0297741273100616,"unable","1"
30,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.376119402985075,0.413757700205339,0.182089552238806,0.0728952772073922,"unable","1"
31,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.659701492537313,0.543121149897331,0.0462686567164179,0.0482546201232033,"unable","1"
32,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.750746268656716,0.517453798767967,0.082089552238806,0.0451745379876797,"unable","1"
33,1230771786,3626598,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","don't know",0.755223880597015,0.567761806981519,0.0791044776119403,0.0225872689938399,"unable","1"
34,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.174074074074074,0.254777070063694,0.0740740740740741,0.0471337579617834,"fantasy","2"
35,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.233333333333333,0.243312101910828,0.0574074074074074,0.0484076433121019,"fantasy","2"
36,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.274074074074074,0.198726114649682,0.05,0.0624203821656051,"fantasy","2"
37,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.340740740740741,0.180891719745223,0.0592592592592593,0.0687898089171975,"fantasy","2"
38,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.366666666666667,0.252229299363057,0.0611111111111111,0.0484076433121019,"fantasy","2"
39,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.390740740740741,0.4,0.127777777777778,0.100636942675159,"fantasy","2"
40,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.468518518518519,0.32484076433121,0.0555555555555555,0.0573248407643313,"fantasy","2"
41,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.540740740740741,0.356687898089172,0.0555555555555556,0.0802547770700637,"fantasy","2"
42,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.655555555555556,0.528662420382166,0.0537037037037037,0.0738853503184713,"fantasy","2"
43,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.75,0.505732484076433,0.062962962962963,0.0585987261146497,"fantasy","2"
44,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.762962962962963,0.568152866242038,0.0555555555555556,0.0420382165605095,"fantasy","2"
45,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.577777777777778,0.309554140127389,0.0666666666666668,0.067515923566879,"fantasy","2"
46,1230898234,6441793,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","~~fantasy~~",0.501851851851852,0.250955414012739,0.118518518518518,0.0878980891719745,"fantasy","2"
47,1230912741,19155570,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","sorry",0.396135265700483,0.401993355481728,0.123188405797101,0.0913621262458472,"unable","1"
48,1230912741,19155570,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","sorry",0.161835748792271,0.17109634551495,0.282608695652174,0.186046511627907,"unable","1"
49,1230912741,19155570,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","sorry",0.635265700483092,0.498338870431894,0.227053140096618,0.134551495016611,"unable","1"
50,1230912741,19155570,"https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X","sorry",0.434782608695652,0.247508305647841,0.236714975845411,0.167774086378738,"unable","1"